taxid,name,n,gc_mean,gc_stdev,length_mean,length_stdev
284811,Eremothecium gossypii ATCC 10895,1,51.6989,,9119310,
7739,Branchiostoma floridae,1,41.7036,,513461000,
7091,Bombyx mori,10,38.99582,2.117186938054046,399485218,143156737.8928103
13443,Coffea arabica,4,32.481225,9.191987058438453,1101702499.75,71454241.8317835
9685,Felis catus,5,42.55522,1.5408984804327641,2596490000,316777065.3787928
280699,Cyanidioschyzon merolae strain 10D,1,55.0171,,16546700,
8364,Xenopus tropicalis,2,40.53155,0.313601857456234,1468435000,24232549.391262982
9913,Bos taurus,17,42.50127058823529,1.0425259347881384,2706008605.882353,716241226.0763936
9615,Canis lupus familiaris,24,39.584291666666665,4.509764166967788,1927403403.625,881044834.1604897
7668,Strongylocentrotus purpuratus,1,37.4001,,921856000,
4914,Lachancea waltii,2,44.349999999999994,0.07071067811865575,10564600,491439.2129246505
3694,Populus trichocarpa,4,34.280825,0.5995907402831799,407926750,18061007.89684784
4558,Sorghum bicolor,24,42.6496125,3.679439310229623,608875636.1666666,279522446.27115434
9823,Sus scrofa,29,42.19851379310345,1.4091363719679353,2255971141.37931,754754370.8323275
9940,Ovis aries,61,43.075504918032784,0.71133453391641,2755140608.196721,375948509.49435985
9258,Ornithorhynchus anatinus,4,45.268225,2.185653254559531,1855437500,197250736.77513433
9031,Gallus gallus,42,42.01920238095238,1.7041829698926816,1052327285.5238096,51645328.64720917
8355,Xenopus laevis,2,39.70525,0.504520688376599,2730450000,16998847.019724604
93934,Coturnix japonica,1,41.3681,,927657000,
30468,Tinamus major,1,41.6,,1005020000,
46218,Excalfactoria chinensis,2,41.60135,0.053527983335825015,970682000,5423509.011700819
8795,Rhea pennata,3,41.614333333333335,1.1510935380469025,1140310333.3333333,144742162.5178142
441894,Struthio camelus australis,1,41.3,,1225040000,
8790,Dromaius novaehollandiae,8,41.54665,1.3941895423506796,1282617500,95569558.176231
