taxid,n,gc_mean,gc_stdev,length_mean,length_stdev
6239,50,34.7793831,4.999200378431442,104002498,5321085.804971902
7227,73,42.039160273972605,0.33853617102810246,140463479.43835616,12446631.399454666
7160,8,40.4295,0.1115693250213275,2002090000,562453772.5512586
7165,6,40.00085,8.77456439574068,239749499.83333334,33232787.32235682
6279,4,28.45,0.0577350269189634,86336375,1937177.9429107693
7955,19,37.41322631578947,1.2928644071905282,1354949736.8421052,234456912.81764856
7460,2,33.2688,0.8960457131195948,237769000,17703125.373786405
7719,5,36.12478,0.188892143828165,161207200,68704797.47222897
9606,1201,40.87868651124063,1.390465750285818,3019288683.427144,1789729076.6640267
10090,37,42.06984594594594,0.8360764281234481,2563975648.6486487,506219164.86999846
341663,1,52.8,,29364000,
296543,1,46.905,,32437399,
37546,1,34.1,,363107000,
352472,1,22.4631,,34205000,
905079,1,52.9,,87145300,
229533,1,48.3278,,36458000,
4931,7,36.33847142857143,8.644721531415241,12741100,1030703.3084258535
214684,2,48.55225,0.02184959953866615,19131900,113137.0849898476
242507,1,51.5882,,40979100,
31033,3,45.680233333333334,0.17153822703215119,375209666.6666667,22125502.962268073
51511,1,37.5,,587353000,
27291,44,38.388254545454544,0.3535462487127512,11813631.818181818,166290.15377685163
27288,9,36.750655555555554,0.08662486812559919,11207855.555555556,118572.35250165942
237631,1,54.0121,,19664400,
5861,7,21.821885714285717,0.2476984149361973,22548728.57142857,351544.68997215567
226302,1,41.5823,,11538900,
240176,1,51.6,,36192600,
10116,16,41.003075,4.108383151151639,1616348781.25,1375678944.5538325
284811,1,51.6989,,9119310,
7739,1,41.7036,,513461000,
7091,10,38.99582,2.117186938054046,399485218,143156737.8928103
13443,4,32.481225,9.191987058438453,1101702499.75,71454241.8317835
9685,5,42.55522,1.5408984804327641,2596490000,316777065.3787928
280699,1,55.0171,,16546700,
8364,2,40.53155,0.313601857456234,1468435000,24232549.391262982
9913,17,42.50127058823529,1.0425259347881384,2706008605.882353,716241226.0763936
9615,24,39.584291666666665,4.509764166967788,1927403403.625,881044834.1604897
7668,1,37.4001,,921856000,
4914,2,44.349999999999994,0.07071067811865575,10564600,491439.2129246505
3694,4,34.280825,0.5995907402831799,407926750,18061007.89684784
4558,24,42.6496125,3.679439310229623,608875636.1666666,279522446.27115434
9823,29,42.19851379310345,1.4091363719679353,2255971141.37931,754754370.8323275
9940,61,43.075504918032784,0.71133453391641,2755140608.196721,375948509.49435985
9258,4,45.268225,2.185653254559531,1855437500,197250736.77513433
9031,42,42.01920238095238,1.7041829698926816,1052327285.5238096,51645328.64720917
8355,2,39.70525,0.504520688376599,2730450000,16998847.019724604
93934,1,41.3681,,927657000,
30468,1,41.6,,1005020000,
46218,2,41.60135,0.053527983335825015,970682000,5423509.011700819
8795,3,41.614333333333335,1.1510935380469025,1140310333.3333333,144742162.5178142
441894,1,41.3,,1225040000,
8790,8,41.54665,1.3941895423506796,1282617500,95569558.176231
8811,2,31.6,0.5656854249492386,1190345000,586898.6283848344
8928,1,41.4,,1255660000,
8954,5,42.1668,0.4897808489518564,1190898000,73205933.98079148
8797,1,40.2,,1160840000,
9796,10,41.368939999999995,1.4070249932234868,2268328249,804039841.2090273
481459,1,44.6947,,471894000,
3055,9,64.0343,0.19067253341789822,111885888.8888889,1664320.4652683663
8823,1,40.8,,1221440000,
54971,1,41.8,,1124620000,
8787,2,41.0,0.565685424949236,1206795000,3118340.905032675
8805,2,41.5,0.4242640687119245,957217500,2407698.5899401945
81927,3,44.5767,4.4421164629036936,769629999.6666666,532408825.80593085
52775,3,41.8515,0.6631415761358957,1236723333.3333333,6783895.144629915
9103,3,41.26253333333334,0.3051611104536982,1084126666.6666667,32137445.96780107
7245,6,41.56608333333333,1.4815541197224844,154560500,8776563.968888965
99883,1,46.6,,342403000,
5478,68,38.757600000000004,0.28439530508121774,12477498.529411765,356595.0763895483
28985,7,38.680014285714286,0.17794602579220017,10753128.57142857,112460.10721267216
4952,38,48.90289473684211,0.40670674071685053,19865798.315789472,3323337.1954398905
284592,3,36.64563333333333,0.5669984156356457,10748583.333333334,2059485.103328823
8022,7,41.01481428571429,6.9796278629137465,1795311881.2857144,849442149.0595624
8128,5,40.31422,0.7147986443747634,961992399.8,87916267.1665557
7998,2,39.64175,0.15337146083936395,939966500,137211949.56890598
7240,24,42.654225,0.4368183238412487,120418262.375,34910052.30574577
7226,6,42.43228333333333,0.207993465442226,148936499.83333334,9978611.437519759
9598,9,41.204,1.2897457995667205,2381391816.6666665,1346774700.531592
3708,8,36.8192625,0.8531629134955897,911196500,97558783.46924996
4956,8,39.4938625,0.327669140346957,15813907.5,5064132.448199508
559295,1,47.2838,,10392900,
870730,11,49.46363636363636,0.06741998624632517,8884729.090909092,22505.824337066817
4920,2,41.1,0.0,16001100,7430843.742133191
294747,2,33.25,0.07071067811865073,14865100,332340.1871576773
34317,1,39.3807,,545185000,
9544,15,41.51099333333333,1.7497101692511687,2197960633.3333335,1358509837.092404
7070,2,33.31805,2.6463471285906564,203902500,53681425.50733913
7237,7,44.4143,0.9554219643696712,107180571.42857143,65709713.223559126
13616,3,37.957033333333335,0.2302965551920652,3267203333.3333335,563126024.2905964
3555,317,35.75835899053628,0.6687051983499483,474011396.4258675,202890006.37887678
312017,2,23.0,0.9899494936611656,130353500,38663891.688499235
67593,11,54.667500000000004,0.10134037694818417,84332400,999520.6010883418
9785,10,39.84918,1.5175348348921374,3297205000,148073872.34830534
164328,28,54.010714285714286,0.3695235026999222,46034925,9391951.55189035
42254,4,43.191024999999996,0.21117655133402805,2392845000,49434839.60393385
9365,4,42.02425,0.41136226937660036,2355065000,434875325.3903161
3711,4,37.5383,0.592042132509731,370674750,54152944.17588638
45351,4,39.122949999999996,3.4835940219836172,278671000,53642263.580128685
10141,2,39.7,0.565685424949241,2934370000,298611193.695079
79327,5,30.97076,1.7894118832733854,812362000,93095632.56941757
9315,3,38.71543333333333,0.10351117492006777,2626916666.6666665,806086156.9542882
9371,1,43.8,,2947120000,
9361,3,40.9332,0.11535670765066262,3499503333.3333335,178615833.09811404
6183,1,35.2771,,364538000,
6182,4,34.275675,0.6282573431060472,396938250,18184539.79575324
